Date,Location,Latitude,Longitude,Previous GWL (m bgl),Rainfall (mm/day),Temperature (°C),Evaporation (mm/day),Population Density (people/km²),Surface Elevation (m),Land Use,Soil Type,River Distance (km),Tidal Influence (m),Slope (%),Aquifer Type,Irrigation Demand (mm/day),Predicted GWL (m bgl)
2022-01-13,Bengaluru Urban,13.029873917666597,77.57684067223927,16.81,176.4,32.0,8.2,786,116,Forest,Loam,9.6,0.0,7.3,Confined,0.0,13.69
2022-01-14,Mysuru,12.263422127512385,76.59870563444757,7.52,118.1,31.1,6.7,323,409,Agricultural,Sandy,15.7,0.0,1.1,Confined,10.7,5.6
2022-01-15,Tumakuru,13.407782504248123,77.0527229083399,7.38,58.0,24.3,7.0,568,490,Agricultural,Sandy,9.4,0.0,3.6,Confined,0.7,6.58
2022-01-16,Mysuru,12.299792416788934,76.61025538213097,27.69,0.0,27.6,4.1,592,309,Barren,Clay,17.6,0.0,0.4,Unconfined,0.0,27.89
2022-01-17,Mangaluru,12.906997831339735,74.92778524834051,14.78,154.2,23.2,5.9,336,104,Agricultural,Loam,1.9,0.5,9.0,Unconfined,40.8,12.4
2022-01-18,Bengaluru Urban,13.01984226373776,77.63645104367933,5.38,155.5,34.7,6.7,270,496,Forest,Sandy,15.9,0.0,4.4,Unconfined,0.0,2.6
2022-01-19,Davanagere,14.42440166202035,75.97834781217566,12.13,169.3,30.8,6.3,268,262,Forest,Silty,15.7,0.0,1.4,Unconfined,0.0,9.06
2022-01-20,Belagavi,15.87764508465849,74.51428916748735,12.99,178.8,31.8,8.0,330,194,Urban,Loam,5.8,0.0,6.1,Unconfined,0.0,9.81
2022-01-21,Mysuru,12.277394008578533,76.7502084262899,24.02,36.1,21.3,8.2,216,170,Forest,Sandy,7.4,0.0,6.5,Unconfined,0.0,23.71
2022-01-22,Hubballi-Dharwad,15.389148977123863,75.13988040347554,11.0,142.4,34.9,8.5,743,113,Urban,Loam,10.8,0.0,2.5,Confined,0.0,8.58
2022-01-23,Tumakuru,13.437924547798927,77.14289372536061,5.36,175.3,39.3,6.1,615,287,Urban,Sandy,12.4,0.0,2.7,Confined,0.0,2.16
2022-01-24,Tumakuru,13.34334423335229,77.2006508366524,26.28,181.2,25.5,6.2,283,302,Forest,Silty,8.4,0.0,1.2,Confined,0.0,22.97
2022-01-25,Bengaluru Urban,12.907894653541597,77.67160845271137,10.38,79.8,35.5,7.1,394,422,Agricultural,Loam,16.6,0.0,5.3,Confined,25.4,9.39
2022-01-26,Bengaluru Urban,13.022384667785943,77.617539022976,29.61,194.9,26.8,8.0,674,372,Urban,Sandy,2.4,0.0,1.0,Unconfined,0.0,26.11
2022-01-27,Shivamogga,13.915572109180957,75.53413603882105,21.53,0.0,30.6,4.1,556,492,Barren,Sandy,19.1,0.0,3.7,Confined,0.0,21.73
2022-01-28,Ballari,15.20103983710257,76.88850708030509,8.52,135.3,37.3,8.2,784,184,Urban,Clay,13.8,0.0,0.9,Unconfined,0.0,6.22
2022-01-29,Belagavi,15.914088438250007,74.49789532091323,23.4,0.0,27.4,8.2,222,219,Barren,Clay,7.2,0.0,3.1,Unconfined,0.0,23.81
2022-01-30,Bengaluru Urban,13.023045228524566,77.53919329019925,5.78,119.6,22.5,7.6,766,270,Agricultural,Silty,1.4,0.0,9.3,Confined,11.4,3.88
2022-01-31,Ballari,15.099301308131771,76.92356390230515,16.72,188.1,20.1,8.9,274,455,Agricultural,Clay,17.8,0.0,6.2,Unconfined,18.9,13.59
2022-02-01,Davanagere,14.527454428325347,75.93055460618628,20.05,145.6,20.9,7.3,200,481,Agricultural,Sandy,5.7,0.0,5.6,Unconfined,8.7,17.59
2022-02-02,Davanagere,14.390874375381417,75.99267186808272,22.41,193.9,27.7,5.1,219,268,Agricultural,Loam,6.3,0.0,9.2,Unconfined,45.1,19.24
2022-02-03,Bengaluru Urban,12.96906112254181,77.62147575434847,27.81,188.0,20.7,4.7,503,311,Forest,Silty,17.0,0.0,6.3,Unconfined,0.0,24.28
2022-02-04,Mangaluru,12.89750423334668,74.82131691037397,18.48,0.0,20.6,7.3,494,282,Barren,Loam,17.9,-0.41,3.3,Confined,0.0,18.84
2022-02-05,Bengaluru Urban,12.963400902271808,77.58970629267178,20.51,141.7,20.6,4.9,756,244,Urban,Clay,7.6,0.0,6.3,Confined,0.0,17.92
2022-02-06,Mangaluru,12.889392857132588,74.86846224952647,13.57,62.7,27.9,7.1,577,124,Forest,Silty,4.2,-0.99,4.5,Unconfined,0.0,12.67
2022-02-07,Belagavi,15.84209937890692,74.506644914609,29.76,0.0,33.7,8.5,317,356,Barren,Clay,19.7,0.0,3.5,Confined,0.0,30.19
2022-02-08,Shivamogga,14.015557597222637,75.57207494956471,21.44,188.0,35.8,7.8,648,335,Agricultural,Loam,4.0,0.0,3.8,Unconfined,14.4,18.21
2022-02-09,Hubballi-Dharwad,15.324708284452187,75.04650770254145,16.93,25.6,36.3,8.2,430,415,Urban,Loam,10.2,0.0,4.8,Unconfined,0.0,16.83
2022-02-10,Belagavi,15.820146667743368,74.54084389882595,19.73,39.8,23.5,6.8,403,126,Agricultural,Silty,14.9,0.0,10.0,Confined,23.0,19.5
2022-02-11,Hubballi-Dharwad,15.387547303018055,75.08448143763701,25.91,131.7,25.7,5.6,727,194,Forest,Clay,5.4,0.0,2.2,Confined,0.0,23.56
2022-02-12,Mangaluru,12.908934807629931,74.85255973052968,24.96,102.6,28.9,6.5,739,126,Urban,Silty,10.2,0.78,9.1,Unconfined,0.0,23.23
2022-02-13,Mysuru,12.295830669588014,76.60378351997612,11.07,128.8,33.8,6.3,650,121,Urban,Silty,9.4,0.0,3.3,Unconfined,0.0,8.81
2022-02-14,Vijayapura,16.91150349820527,75.59967037421495,20.91,121.3,20.3,4.5,305,391,Agricultural,Silty,7.6,0.0,3.9,Unconfined,33.8,19.05
2022-02-15,Tumakuru,13.344041023187744,77.0464740768394,10.97,92.5,28.2,6.2,326,363,Forest,Loam,8.5,0.0,7.1,Unconfined,0.0,9.43
2022-02-16,Belagavi,15.840226855383317,74.47188689055773,14.04,0.0,37.4,7.1,538,119,Barren,Loam,4.2,0.0,5.5,Confined,0.0,14.39
2022-02-17,Davanagere,14.480578479221668,75.89470449018648,18.19,134.7,31.9,6.0,774,119,Forest,Clay,2.7,0.0,7.7,Unconfined,0.0,15.8
2022-02-18,Hubballi-Dharwad,15.35414480059341,75.17078350664927,28.04,0.0,38.6,5.3,349,182,Barren,Silty,19.8,0.0,7.7,Unconfined,0.0,28.3
2022-02-19,Mangaluru,12.915853327605696,74.83750269185833,25.69,0.0,31.1,6.8,538,204,Barren,Sandy,4.7,0.11,3.7,Confined,0.0,26.03
2022-02-20,Shivamogga,13.970491214435004,75.56362839717029,21.62,0.0,22.7,7.1,726,361,Barren,Clay,12.0,0.0,9.7,Unconfined,0.0,21.98
2022-02-21,Ballari,15.097091873158012,76.94772879228368,26.12,42.1,25.0,4.7,207,319,Urban,Sandy,11.7,0.0,1.2,Confined,0.0,25.51
2022-02-22,Shivamogga,13.933383511452105,75.51323983044684,9.57,0.0,39.4,5.2,205,328,Barren,Silty,4.0,0.0,1.1,Confined,0.0,9.83
2022-02-23,Davanagere,14.44631503829307,75.88223333506792,11.3,0.0,33.0,6.5,463,173,Barren,Loam,1.4,0.0,0.5,Confined,0.0,11.62
2022-02-24,Mangaluru,12.891661915842592,74.82207385295958,26.41,117.6,36.3,7.2,343,375,Agricultural,Clay,8.0,-0.75,1.1,Confined,11.1,24.53
2022-02-25,Bengaluru Urban,12.847622528757567,77.59719829088722,17.6,75.8,22.4,7.7,739,466,Forest,Clay,7.7,0.0,9.4,Confined,0.0,16.47
2022-02-26,Hubballi-Dharwad,15.436452825027542,75.07668887266564,16.61,38.4,34.1,4.7,333,322,Urban,Sandy,7.1,0.0,3.6,Unconfined,0.0,16.08
2022-02-27,Shivamogga,13.860876481267711,75.49855690679594,21.13,65.1,20.2,4.3,707,167,Urban,Silty,12.7,0.0,2.4,Confined,0.0,20.04
2022-02-28,Hubballi-Dharwad,15.337974532816474,75.10253614159659,9.52,68.3,24.0,6.5,265,202,Forest,Clay,12.1,0.0,2.0,Unconfined,0.0,8.48
2022-03-01,Shivamogga,13.940964833501917,75.56836119122028,26.59,103.4,32.9,5.9,467,264,Forest,Clay,7.8,0.0,5.9,Unconfined,0.0,24.82
2022-03-02,Davanagere,14.454598675484048,75.88920179127507,27.23,66.1,27.8,4.6,432,178,Urban,Silty,8.6,0.0,4.9,Confined,0.0,26.14
2022-03-03,Belagavi,15.858466306930188,74.5117334854103,25.24,177.2,31.6,4.6,611,186,Urban,Loam,19.7,0.0,5.7,Unconfined,0.0,21.93
2022-03-04,Tumakuru,13.33964161131326,77.02236461332875,11.91,93.7,22.0,6.8,423,303,Urban,Loam,9.4,0.0,9.9,Unconfined,0.0,10.38
2022-03-05,Shivamogga,13.96249842999415,75.57129849256872,14.01,11.4,22.1,4.1,420,295,Agricultural,Loam,5.8,0.0,8.4,Confined,28.1,14.27
2022-03-06,Bengaluru Urban,12.97036696861158,77.68882590449373,20.81,93.6,24.1,4.5,588,196,Forest,Silty,18.1,0.0,2.0,Confined,0.0,19.16
2022-03-07,Belagavi,15.783098927187025,74.5531176011534,21.01,0.0,39.1,6.0,397,196,Barren,Loam,13.8,0.0,3.2,Unconfined,0.0,21.31
2022-03-08,Shivamogga,13.939050561830497,75.60889983060825,22.72,131.2,33.8,6.9,752,351,Forest,Clay,19.8,0.0,3.7,Confined,0.0,20.44
2022-03-09,Ballari,15.194688267579936,76.88660584465123,23.2,122.1,33.2,6.9,383,468,Forest,Silty,13.7,0.0,4.0,Unconfined,0.0,21.1
2022-03-10,Vijayapura,16.903325714438537,75.60280071709026,23.96,197.1,29.1,4.0,764,156,Urban,Loam,16.7,0.0,6.8,Confined,0.0,20.22
2022-03-11,Belagavi,15.876756273459502,74.48770053145914,7.7,0.0,25.0,4.4,470,112,Barren,Loam,18.2,0.0,0.5,Confined,0.0,7.92
2022-03-12,Davanagere,14.418907644687462,75.83770354365846,18.38,167.3,32.9,6.0,721,269,Forest,Silty,14.1,0.0,0.9,Confined,0.0,15.33
2022-03-13,Ballari,15.093703937324026,76.91668126500507,10.39,75.7,21.0,8.4,729,423,Forest,Loam,5.9,0.0,0.7,Unconfined,0.0,9.3
2022-03-14,Vijayapura,16.902451545455985,75.72781851063982,8.15,13.9,21.3,6.5,484,147,Agricultural,Sandy,10.6,0.0,6.1,Confined,42.0,8.62
2022-03-15,Shivamogga,13.953696768285386,75.56076929510986,19.63,8.0,38.1,6.1,210,458,Agricultural,Silty,10.6,0.0,6.4,Confined,21.8,19.99
2022-03-16,Shivamogga,13.84281944288825,75.6000717723069,24.43,153.4,35.7,7.9,552,495,Urban,Sandy,9.7,0.0,3.6,Unconfined,0.0,21.76
2022-03-17,Belagavi,15.81978703701241,74.53579080753505,12.18,137.0,39.8,7.4,734,354,Agricultural,Silty,8.2,0.0,2.7,Unconfined,8.9,9.9
2022-03-18,Hubballi-Dharwad,15.3806854386342,75.13580429692307,19.11,114.4,29.3,5.0,642,112,Forest,Silty,7.4,0.0,6.4,Confined,0.0,17.07
2022-03-19,Shivamogga,14.018672128779077,75.57739173222565,29.32,167.8,23.4,8.1,247,150,Urban,Sandy,1.1,0.0,6.5,Confined,0.0,26.37
2022-03-20,Mangaluru,12.948346621441013,74.8924710611767,26.17,0.0,32.4,7.9,623,130,Barren,Sandy,2.9,0.01,8.4,Confined,0.0,26.57
2022-03-21,Bengaluru Urban,13.01162081684065,77.55076788305846,24.12,93.7,25.1,6.2,731,469,Urban,Silty,10.0,0.0,5.9,Unconfined,0.0,22.56
2022-03-22,Ballari,15.186561934398604,76.9202966302449,25.21,11.3,27.8,7.5,249,408,Forest,Loam,3.8,0.0,8.0,Unconfined,0.0,25.36
2022-03-23,Vijayapura,16.76907745830778,75.72654141498792,9.31,96.0,33.2,4.5,714,202,Forest,Clay,3.8,0.0,3.5,Unconfined,0.0,7.62
2022-03-24,Mysuru,12.35337029147882,76.64277909577945,29.77,58.0,33.7,8.1,203,223,Forest,Silty,2.9,0.0,4.4,Unconfined,0.0,29.02
2022-03-25,Davanagere,14.412085664750318,75.92535009043701,5.46,69.9,24.3,7.8,233,457,Agricultural,Sandy,10.9,0.0,0.4,Confined,27.3,4.72
2022-03-26,Ballari,15.113548308891874,76.9601068062436,13.9,0.0,29.6,7.3,299,161,Barren,Silty,19.3,0.0,9.9,Confined,0.0,14.27
2022-03-27,Mysuru,12.275195301531495,76.57401583263609,12.36,0.0,32.8,7.0,741,311,Barren,Silty,12.9,0.0,2.7,Unconfined,0.0,12.71
2022-03-28,Vijayapura,16.838269906118235,75.666624245674,20.05,134.6,31.7,8.4,599,148,Agricultural,Silty,10.2,0.0,4.9,Unconfined,33.4,18.11
2022-03-29,Shivamogga,13.903682345079147,75.61837343953268,16.55,20.0,32.8,5.7,583,445,Forest,Silty,17.5,0.0,4.3,Confined,0.0,16.44
2022-03-30,Davanagere,14.51034093033787,75.93733741894263,6.42,104.0,24.7,5.3,243,181,Urban,Sandy,13.5,0.0,3.8,Confined,0.0,4.6
2022-03-31,Shivamogga,13.918431252363062,75.55697451797879,13.49,134.5,35.9,6.7,213,313,Urban,Clay,7.7,0.0,6.4,Unconfined,0.0,11.14
2022-04-01,Tumakuru,13.299012774863492,77.11123695714214,27.85,0.0,32.7,6.3,213,406,Barren,Clay,13.8,0.0,3.2,Confined,0.0,28.17
2022-04-02,Vijayapura,16.836285834688823,75.84343069799975,15.28,142.4,21.6,8.3,283,487,Forest,Silty,4.3,0.0,1.8,Unconfined,0.0,12.85
2022-04-03,Ballari,15.151417057358788,76.91043658762909,12.12,49.5,21.9,7.2,604,106,Forest,Clay,7.3,0.0,0.9,Confined,0.0,11.49
2022-04-04,Belagavi,15.86957693794143,74.49104156393663,5.97,0.0,33.4,8.2,424,234,Barren,Sandy,14.7,0.0,4.0,Confined,0.0,6.38
2022-04-05,Tumakuru,13.46614209736132,77.08502252494928,5.77,46.7,25.5,4.6,545,491,Forest,Sandy,6.4,0.0,2.7,Unconfined,0.0,5.07
2022-04-06,Tumakuru,13.368010304195987,77.13417311796528,26.47,168.2,28.6,6.9,442,198,Urban,Silty,6.3,0.0,9.2,Confined,0.0,23.45
2022-04-07,Shivamogga,13.962525209715693,75.52699530682968,5.17,0.8,29.4,4.4,779,137,Agricultural,Loam,8.9,0.0,0.1,Unconfined,14.9,5.52
2022-04-08,Hubballi-Dharwad,15.318961292563554,75.1265122568049,12.61,165.3,35.6,8.1,738,451,Forest,Silty,16.0,0.0,9.0,Unconfined,0.0,9.71
2022-04-09,Ballari,15.112446096237125,76.90348689196372,27.53,169.7,26.2,7.5,744,250,Forest,Silty,3.2,0.0,9.1,Unconfined,0.0,24.51
2022-04-10,Mysuru,12.276469901075114,76.65582620243238,29.01,104.2,21.8,6.9,256,127,Agricultural,Loam,3.9,0.0,1.3,Confined,16.3,27.43
2022-04-11,Mysuru,12.330833817380062,76.66565796069955,6.05,91.6,22.9,8.3,786,450,Urban,Sandy,19.5,0.0,2.8,Unconfined,0.0,4.63
2022-04-12,Shivamogga,13.912409346406912,75.53108650456609,23.61,41.6,26.4,5.4,299,472,Forest,Clay,13.2,0.0,6.2,Confined,0.0,23.05
2022-04-13,Vijayapura,16.85361229015163,75.71037139850576,22.83,0.0,25.8,7.0,300,422,Barren,Loam,8.8,0.0,8.6,Confined,0.0,23.18
2022-04-14,Davanagere,14.494574256559462,75.99180415974261,9.74,0.0,32.2,8.7,220,331,Barren,Clay,18.2,0.0,9.8,Confined,0.0,10.18
2022-04-15,Bengaluru Urban,12.956713492936387,77.67695496262427,23.27,35.4,24.9,5.9,661,458,Urban,Loam,15.7,0.0,4.4,Confined,0.0,22.86
2022-04-16,Vijayapura,16.82959067215552,75.65147311468199,26.42,173.2,20.2,4.6,229,475,Forest,Clay,12.4,0.0,4.3,Confined,0.0,23.19
2022-04-17,Tumakuru,13.392357946876695,77.126026340741,15.93,0.0,27.0,5.6,466,378,Barren,Sandy,14.9,0.0,6.5,Unconfined,0.0,16.21
2022-04-18,Belagavi,15.846511273748044,74.53530375653656,24.07,0.0,22.4,4.4,553,397,Barren,Sandy,14.2,0.0,6.3,Unconfined,0.0,24.29
2022-04-19,Tumakuru,13.30669298137311,77.12558031844806,6.58,98.5,36.9,7.4,459,127,Urban,Sandy,12.5,0.0,6.7,Unconfined,0.0,4.98
2022-04-20,Shivamogga,13.842516873250963,75.55234279143727,13.02,112.4,29.1,5.1,660,485,Forest,Silty,6.2,0.0,6.5,Unconfined,0.0,11.03
2022-04-21,Belagavi,15.869614016661846,74.49080611263017,24.74,32.4,20.1,5.7,505,199,Forest,Loam,4.4,0.0,2.4,Confined,0.0,24.38
2022-04-22,Bengaluru Urban,12.998551082196961,77.61560078157117,15.4,0.0,23.0,4.2,679,345,Barren,Sandy,8.8,0.0,2.8,Unconfined,0.0,15.61
2022-04-23,Hubballi-Dharwad,15.357342552573598,75.08919484160306,11.27,120.8,27.5,4.5,723,494,Urban,Sandy,18.0,0.0,7.7,Unconfined,0.0,9.08
2022-04-24,Mangaluru,12.883621902963053,74.9297080848643,19.26,108.0,38.0,5.2,301,436,Urban,Clay,12.1,0.77,7.6,Confined,0.0,17.36
2022-04-25,Vijayapura,16.808899906111993,75.74528024173726,26.21,0.0,30.2,6.2,371,199,Barren,Silty,7.4,0.0,6.4,Confined,0.0,26.52
2022-04-26,Davanagere,14.496422995848183,75.8913728452017,16.52,85.8,27.0,6.2,389,416,Forest,Silty,12.6,0.0,6.9,Confined,0.0,15.11
2022-04-27,Davanagere,14.463026938390117,75.97601886491162,14.03,72.8,32.8,7.9,612,195,Urban,Clay,1.6,0.0,2.5,Unconfined,0.0,12.97
2022-04-28,Mysuru,12.301889822545856,76.67065878966675,21.23,164.8,39.2,7.3,585,172,Urban,Sandy,12.0,0.0,7.3,Confined,0.0,18.3
2022-04-29,Shivamogga,13.872485491019264,75.58148279378018,10.73,186.8,28.3,4.2,466,466,Urban,Loam,2.0,0.0,1.8,Unconfined,0.0,7.2
2022-04-30,Davanagere,14.470576551119093,75.84731599508888,20.96,146.2,35.4,5.8,647,180,Agricultural,Silty,5.4,0.0,5.5,Unconfined,38.5,18.71
2022-05-01,Bengaluru Urban,12.974438425526431,77.62669665790011,29.91,0.0,25.6,4.0,541,361,Barren,Silty,14.3,0.0,7.4,Confined,0.0,30.11
2022-05-02,Hubballi-Dharwad,15.308554194909107,75.1112879378353,9.79,135.5,30.5,5.4,412,404,Urban,Clay,5.1,0.0,0.8,Confined,0.0,7.35
2022-05-03,Ballari,15.147779463501076,76.87081990868987,14.87,176.3,39.9,8.3,494,416,Forest,Clay,9.9,0.0,9.5,Confined,0.0,11.76
2022-05-04,Mangaluru,12.821302754226458,74.75121941378009,26.27,71.7,27.9,7.1,245,429,Forest,Sandy,16.2,0.9,9.7,Confined,0.0,25.19
2022-05-05,Ballari,15.10987072360316,76.97679721306541,17.36,100.4,32.0,5.1,220,460,Forest,Silty,15.2,0.0,0.9,Unconfined,0.0,15.61
2022-05-06,Mangaluru,12.873312740589151,74.8105772012964,14.68,29.8,31.2,8.5,757,224,Forest,Loam,7.5,0.76,6.6,Unconfined,0.0,14.51
2022-05-07,Mangaluru,12.886988958216358,74.90151739381176,5.81,0.0,35.3,5.6,479,211,Barren,Clay,12.7,-0.4,3.3,Unconfined,0.0,6.09
2022-05-08,Mysuru,12.310166367859688,76.50577852783745,21.07,0.0,20.9,5.9,282,125,Barren,Silty,8.8,0.0,1.5,Unconfined,0.0,21.37
2022-05-09,Ballari,15.14880844890478,76.90786628785781,18.36,0.0,31.8,5.4,368,379,Barren,Sandy,5.6,0.0,7.7,Unconfined,0.0,18.63
2022-05-10,Bengaluru Urban,12.985363433664578,77.5568515559617,28.0,0.0,26.4,8.1,302,246,Barren,Silty,5.5,0.0,7.9,Confined,0.0,28.41
2022-05-11,Hubballi-Dharwad,15.391825782937259,75.12405111040466,24.68,29.5,22.4,7.5,572,209,Urban,Silty,13.1,0.0,5.8,Confined,0.0,24.46
2022-05-12,Tumakuru,13.354724275034487,77.08309012478855,14.1,0.0,26.0,7.3,464,456,Barren,Loam,12.5,0.0,1.7,Confined,0.0,14.46
2022-05-13,Bengaluru Urban,13.000777432681693,77.57091252854487,25.0,188.6,33.8,7.7,222,361,Forest,Silty,11.1,0.0,2.1,Unconfined,0.0,21.61
2022-05-14,Davanagere,14.435604615647058,76.00780065404543,7.48,0.0,34.3,5.2,751,381,Barren,Sandy,11.7,0.0,8.7,Confined,0.0,7.74
2022-05-15,Mysuru,12.304765325172218,76.66714373361715,21.77,78.7,29.7,6.7,481,378,Urban,Clay,2.3,0.0,2.6,Confined,0.0,20.53
2022-05-16,Belagavi,15.863970500869357,74.45093381457953,29.39,146.7,33.4,8.4,730,160,Urban,Sandy,2.8,0.0,3.4,Unconfined,0.0,26.88
2022-05-17,Belagavi,15.83423150351131,74.46533354144078,21.47,0.6,31.3,5.2,495,496,Urban,Clay,1.2,0.0,7.1,Unconfined,0.0,21.72
2022-05-18,Ballari,15.09915540952144,76.9567732171587,5.54,0.0,31.0,7.6,249,136,Barren,Sandy,19.4,0.0,6.2,Unconfined,0.0,5.92
2022-05-19,Shivamogga,13.954696068414261,75.6338548336598,27.45,151.6,24.2,7.5,473,107,Forest,Sandy,17.8,0.0,1.3,Unconfined,0.0,24.79
2022-05-20,Bengaluru Urban,12.997244712740844,77.62721065933306,10.18,49.9,34.4,6.8,664,147,Forest,Sandy,12.3,0.0,2.8,Confined,0.0,9.52
2022-05-21,Vijayapura,16.803486343914646,75.71693651451385,21.7,0.0,21.6,8.4,464,378,Barren,Silty,5.0,0.0,7.2,Unconfined,0.0,22.12
2022-05-22,Bengaluru Urban,12.989174504421621,77.71071359389043,21.74,86.6,21.0,7.6,621,292,Urban,Silty,14.9,0.0,4.1,Confined,0.0,20.39
2022-05-23,Mysuru,12.291662833614991,76.57223481148822,13.04,125.4,32.7,6.6,640,285,Forest,Sandy,12.0,0.0,2.8,Confined,0.0,10.86
2022-05-24,Belagavi,15.891216021062041,74.51647746507052,12.13,0.0,31.7,7.3,218,327,Barren,Silty,5.8,0.0,4.8,Unconfined,0.0,12.5
2022-05-25,Tumakuru,13.345447011538576,77.08834123802389,22.99,162.8,28.9,7.2,559,213,Agricultural,Clay,15.3,0.0,5.7,Confined,39.2,20.49
2022-05-26,Davanagere,14.501791642178345,75.91939381839022,7.71,133.1,28.2,8.3,498,314,Agricultural,Loam,17.1,0.0,3.1,Unconfined,40.0,5.86
2022-05-27,Belagavi,15.874020425046776,74.50713349696002,8.45,0.0,22.7,6.3,616,429,Barren,Clay,19.1,0.0,6.5,Confined,0.0,8.76
2022-05-28,Mysuru,12.33077529703326,76.56500226896381,18.93,146.1,21.6,6.4,213,460,Agricultural,Clay,7.8,0.0,1.3,Confined,19.6,16.52
2022-05-29,Bengaluru Urban,13.033429691666795,77.56598914893381,17.02,119.1,21.4,4.6,584,465,Forest,Loam,14.9,0.0,9.0,Unconfined,0.0,14.87
2022-05-30,Ballari,15.114007938559334,76.83172172494731,5.83,0.0,21.7,5.2,780,204,Barren,Clay,7.4,0.0,5.5,Confined,0.0,6.09
2022-05-31,Vijayapura,16.888372528202204,75.72022202535855,12.9,0.0,37.2,6.5,511,460,Barren,Sandy,4.1,0.0,7.2,Unconfined,0.0,13.22
2022-06-01,Mysuru,12.30377458603243,76.64154071429314,19.36,172.4,24.8,4.8,201,481,Agricultural,Loam,12.3,0.0,7.8,Confined,34.0,16.49
2022-06-02,Mysuru,12.357488638314502,76.54904450600581,21.78,34.0,20.0,4.1,628,350,Forest,Loam,18.6,0.0,3.0,Unconfined,0.0,21.3
2022-06-03,Vijayapura,16.83748863430918,75.69692449323419,21.18,108.3,25.9,7.1,324,469,Forest,Clay,1.2,0.0,9.3,Unconfined,0.0,19.37
2022-06-04,Ballari,15.006803060919552,76.94128309255154,9.59,70.3,24.5,8.2,793,440,Agricultural,Sandy,11.3,0.0,1.2,Confined,30.8,8.9
2022-06-05,Vijayapura,16.855343672780688,75.78103403271811,7.92,5.1,33.4,6.6,388,422,Agricultural,Silty,14.8,0.0,8.8,Confined,22.4,8.37
2022-06-06,Davanagere,14.432344264702143,75.8685338377066,24.29,174.6,27.0,5.5,758,247,Forest,Silty,19.2,0.0,6.8,Confined,0.0,21.07
2022-06-07,Shivamogga,13.926882893406098,75.5558009117481,5.56,0.0,28.1,9.0,354,168,Barren,Loam,14.8,0.0,8.8,Unconfined,0.0,6.01
2022-06-08,Shivamogga,13.914883285666697,75.4883144092641,24.33,111.9,25.5,7.7,432,181,Forest,Silty,9.8,0.0,5.6,Unconfined,0.0,22.48
2022-06-09,Mysuru,12.228495579201459,76.65040164928541,9.38,0.0,32.5,8.9,506,408,Barren,Sandy,17.7,0.0,6.4,Unconfined,0.0,9.83
2022-06-10,Mysuru,12.258377284242894,76.55801521619252,7.62,109.8,25.1,8.5,753,385,Agricultural,Clay,8.5,0.0,3.4,Unconfined,48.6,6.33
2022-06-11,Ballari,15.038899162348219,76.88755003776981,14.53,112.6,35.6,4.1,505,312,Urban,Silty,1.5,0.0,3.2,Confined,0.0,12.48
2022-06-12,Tumakuru,13.31284266598266,77.14595406298022,8.77,182.4,23.7,7.3,746,153,Urban,Silty,3.9,0.0,2.4,Unconfined,0.0,5.49
